Link,Title,Rating,Votes,Description,Director
https://www.imdb.com/title/tt8143990/?ref_=adv_li_tt,Kajillionaire,6.5,"12,719",A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.,Miranda July
https://www.imdb.com/title/tt4779326/?ref_=adv_li_tt,The Water Man,5.1,"1,305",A boy sets out on a quest to save his ill mother by searching for a mythic figure said to have magical healing powers.,David Oyelowo
https://www.imdb.com/title/tt5144174/?ref_=adv_li_tt,The Dry,6.9,"12,104",Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,Robert Connolly
https://www.imdb.com/title/tt5867314/?ref_=adv_li_tt,The Empty Man,6.1,"11,852","On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity.",David Prior
https://www.imdb.com/title/tt0805647/?ref_=adv_li_tt,The Witches,5.3,"29,761",A young boy and his grandmother have a run-in with a coven of witches and their leader.,Robert Zemeckis
https://www.imdb.com/title/tt11778118/?ref_=adv_li_tt,Vicious Fun,6.6,"1,294","Joel, a caustic 1980s film critic for a national horror magazine, finds himself unwittingly trapped in a self-help group for serial killers. With no other choice, Joel attempts to blend in or risk becoming the next victim.",Cody Calahan
https://www.imdb.com/title/tt7846844/?ref_=adv_li_tt,Enola Holmes,6.6,"143,473","When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",Harry Bradbeer
https://www.imdb.com/title/tt1051906/?ref_=adv_li_tt,The Invisible Man,7.1,"185,309","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",Leigh Whannell
https://www.imdb.com/title/tt8936646/?ref_=adv_li_tt,Extraction,6.7,"172,374","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",Sam Hargrave
https://www.imdb.com/title/tt11169050/?ref_=adv_li_tt,Supernova,6.8,"5,377","Sam and Tusker are traveling across England in their old RV to visit friends, family and places from their past. Since Tusker was diagnosed with dementia two years ago, their time together is the most important thing they have.",Harry Macqueen
https://www.imdb.com/title/tt5420210/?ref_=adv_li_tt,The Comeback Trail,5.6,"3,622",Two movie producers who owe money to the mob set up their aging movie star for an insurance scam to try and save themselves. But they wind up getting more than they ever imagined.,George Gallo
https://www.imdb.com/title/tt0983946/?ref_=adv_li_tt,Fantasy Island,4.9,"41,121","When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",Jeff Wadlow
https://www.imdb.com/title/tt9738716/?ref_=adv_li_tt,The World to Come,6.2,"4,567","Somewhere along the mid-19th century American East Coast frontier, two neighboring couples battle hardship and isolation, witnessed by a splendid yet testing landscape, challenging them both physically and psychologically.",Mona Fastvold
https://www.imdb.com/title/tt1070874/?ref_=adv_li_tt,The Trial of the Chicago 7,7.8,"151,219","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",Aaron Sorkin
https://www.imdb.com/title/tt9214832/?ref_=adv_li_tt,Emma.,6.7,"39,220","In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.",Autumn de Wilde
https://www.imdb.com/title/tt7146812/?ref_=adv_li_tt,Onward,7.4,"119,180",Two elven brothers embark on a quest to bring their father back for one day.,Dan Scanlon
https://www.imdb.com/title/tt6048922/?ref_=adv_li_tt,Greyhound,7.0,"79,089","Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",Aaron Schneider
https://www.imdb.com/title/tt5616176/?ref_=adv_li_tt,2 Hearts,6.1,"2,016","For two couples the future unfolds in different decades and different places, but a hidden connection will bring them together in a way no one could have predicted.",Lance Hool
