link,Code,Sale_rent,Price,Total_area,Floor,Rooms,Date
https://akcern.am/en/property/5385,Code - 32518,For sale Apartment in Yerevan,"84,000 USD",'Total area 94 m 2','Floor 3','Count of rooms 3',27.01.2021
https://akcern.am/en/property/5157,Code - 32506,For sale Apartment in Yerevan,"98,000 USD",'Total area 81 m 2','Floor 4','Count of rooms 3',27.01.2021
https://akcern.am/en/property/7559,Code - 22094,For sale Apartment in Yerevan,"110,000 USD",'Total area 65 m 2','Floor 8','Count of rooms 2',27.01.2021
https://akcern.am/en/property/3892,Code - 32356,For sale Apartment in Yerevan,"200,000 USD",'Total area 96 m 2','Floor 1','Count of rooms 3',27.01.2021
https://akcern.am/en/property/9449,Code - 458430,For sale Apartment in Yerevan,"270,000 USD",'Total area 103 m 2',,'Count of rooms 4',27.01.2021
https://akcern.am/en/property/7979,Code - 11281,For sale Apartment in Yerevan,"20,000 USD",'Total area 17 m 2','Floor 2','Count of rooms 1',27.01.2021
https://akcern.am/en/property/5520,Code - 40553,For sale Apartment in Yerevan,"215,000 USD",'Total area 125 m 2','Floor 7','Count of rooms 4',26.01.2021
https://akcern.am/en/property/5120,Code - 80371,For sale Apartment in Yerevan,"275,000 USD",'Total area 196 m 2','Floor ','Count of rooms 4',26.01.2021
https://akcern.am/en/property/5119,Code - 80372,For sale Apartment in Yerevan,"175,000 USD",'Total area 240 m 2','Floor 1','Count of rooms 4',26.01.2021
https://akcern.am/en/property/10227,Code - 359269,For sale Apartment in Yerevan,"85,000 USD",'Total area 96 m 2','Floor 4','Count of rooms 3',26.01.2021
https://akcern.am/en/property/10219,Code - 359257,For sale Apartment in Yerevan,"90,000 USD",'Total area 90 m 2','Floor 3','Count of rooms 3',26.01.2021
https://akcern.am/en/property/4029,Code - 32723,For sale Apartment in Yerevan,"380,000 USD",'Total area 154 m 2','Floor 6','Count of rooms 3',25.01.2021
https://akcern.am/en/property/3623,Code - 31819,For sale Apartment in Yerevan,"350,000 USD",'Total area 128 m 2','Floor 4','Count of rooms 3',25.01.2021
https://akcern.am/en/property/6538,Code - 80600,For sale Apartment in Yerevan,"350,000 USD",'Total area 169 m 2','Floor ','Count of rooms 4',25.01.2021
https://akcern.am/en/property/16741,Code - 20602,For rent Apartment in Yerevan,400 USD,'Total area 44 m 2','Floor 2','Count of rooms 2',25.01.2021
