city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Sevan,Armenia,House for rent in <Home Inn> near Lake Sevan,2019.0,100.0,Identity verified,0.0,regular host,Entire residential home,10.0,2.0,4.0,0.0,0.0,74.0,,,,,,
Tsaghkadzor,Armenia,Harmony guest house,2021.0,100.0,Identity verified,0.0,regular host,Entire serviced apartment,6.0,1.0,2.0,3.0,0.0,90.0,,,,,,
Sevan,Armenia,House for rent in <Home Inn> near Lake Sevan,2019.0,100.0,Identity verified,0.0,regular host,Entire residential home,10.0,2.0,4.0,0.0,0.0,74.0,,,,,,
Garni,Armenia,Charming 3-bedroom aparthotel,2016.0,100.0,Identity verified,0.0,regular host,Room in aparthotel,6.0,2.0,3.0,0.0,0.0,23.0,,,,,,
Tsaghkadzor,Armenia,Marriott Family Cottage,2019.0,90.0,Identity verified,31.0,Super host,Entire townhouse,8.0,3.5,4.0,6.0,0.0,280.0,,,,,,
Tsaghkadzor,Armenia,Nice apartment on Caxkadzor,2019.0,91.0,Identity verified,27.0,Super host,Entire rental unit,3.0,1.0,1.0,1.0,0.0,55.0,,,,,,
Tsaghkadzor,Armenia,Mountain view apartment with mountain views,2019.0,100.0,Identity verified,21.0,Super host,Entire rental unit,5.0,1.5,2.0,4.0,5.0,30.0,5.0,5.0,5.0,4.7,5.0,5.0
Garni,Armenia,Villa de familia,2017.0,100.0,Identity verified,39.0,regular host,Entire residential home,10.0,4.0,5.0,5.0,0.0,186.0,,,,,,
Yerevan,Armenia,Cute Bedrooms in Yerevan,2017.0,50.0,Identity not verified,9.0,regular host,Private room in residential home,4.0,1.5,2.0,2.0,4.44,20.0,4.8,4.3,4.6,4.3,4.4,4.8
Sevan,Armenia,Lord XXL,2017.0,64.0,Identity verified,38.0,regular host,Entire villa,6.0,1.0,2.0,3.0,4.9,90.0,5.0,4.9,4.8,5.0,4.9,5.0
Yerevan,Armenia,Quiet Place for having Real Rest / Nature+Comfort,2016.0,,Identity verified,0.0,regular host,Entire residential home,8.0,2.0,0.0,4.0,0.0,63.0,,,,,,
Garni,Armenia,Castle House,2019.0,100.0,Identity verified,4.0,regular host,Room in bed and breakfast,6.0,1.5,3.0,6.0,3.75,12.0,4.0,4.0,4.0,4.0,4.0,3.8
Yerevan,Armenia,Private house in Bagrevand area,2017.0,100.0,Identity verified,0.0,regular host,Entire residential home,7.0,2.0,3.0,1.0,0.0,35.0,,,,,,
Tsaghkadzor,Armenia,Nice apartment on Caxkadzor,2019.0,91.0,Identity verified,27.0,Super host,Entire rental unit,3.0,1.0,1.0,1.0,0.0,55.0,,,,,,
Yerevan,Armenia,Private room in spacious house in Jrvezh,2018.0,100.0,Identity verified,11.0,regular host,Private room in residential home,2.0,2.0,1.0,2.0,5.0,15.0,5.0,5.0,5.0,4.6,5.0,4.9
Tsaghkadzor,Armenia,Chalet Nairi Garden with Russian Bath,2017.0,100.0,Identity verified,21.0,regular host,Entire chalet,6.0,2.0,2.0,4.0,4.75,90.0,4.8,5.0,5.0,4.8,5.0,4.8
Vaghashen,Armenia,2 story house with garden in Martuni,2010.0,,Identity not verified,72.0,regular host,Entire residential home,10.0,3.0,3.0,10.0,5.0,85.0,4.5,5.0,5.0,4.5,5.0,5.0
Tsaghkadzor,Armenia,Chalet Nairi Garden with Russian Bath,2017.0,100.0,Identity verified,21.0,regular host,Entire chalet,6.0,2.0,2.0,4.0,4.75,90.0,4.8,5.0,5.0,4.8,5.0,4.8
Garni,Armenia,Rural Treasure,2018.0,100.0,Identity verified,4.0,regular host,Private room in townhouse,1.0,1.0,2.0,2.0,4.75,10.0,4.8,5.0,4.8,5.0,5.0,5.0
Sevan,Armenia,"Mountain Lake Villa, Premium room",2018.0,,Identity verified,18.0,regular host,Private room in villa,4.0,1.0,1.0,1.0,4.67,11.0,5.0,4.7,4.7,4.7,4.7,5.0
Sevan,Armenia,Armen's B&B,2019.0,0.0,Identity verified,0.0,regular host,Private room in bed and breakfast,10.0,1.0,4.0,7.0,0.0,18.0,,,,,,
