city,country,name,host_since,host_response_rate,host_identity_verified,review,superhost,property_type,accomodates,number_bathroom,number_bedroom,number_beds,rating,price,cleanliness,accuracy,communication,location,check_in,value
Yerevan,Armenia,Kvartira po sutochno,2018.0,0.0,Identity verified,3.0,regular host,Entire rental unit,6.0,1.0,2.0,0.0,0.0,25.0,,,,,,
Ashtarak,Armenia,LIBERAL WHITE HOUSE,2012.0,,Identity verified,5.0,regular host,Entire residential home,7.0,1.0,3.0,5.0,0.0,150.0,,,,,,
Yerevan,Armenia,Inga Hotel Yerevan Number 204,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,2.0,1.0,1.0,1.0,5.0,35.0,5.0,5.0,4.8,4.6,5.0,4.8
Yerevan,Armenia,ALEM HOTEL,2021.0,100.0,Identity verified,2.0,regular host,Room in hotel,7.0,3.0,6.0,15.0,0.0,31.0,,,,,,
Aragatsotn,Armenia,Byurakan Guesthouse - Double Room (3),2019.0,100.0,Identity verified,0.0,regular host,Room in hotel,3.0,1.0,0.0,2.0,0.0,39.0,,,,,,
Vagharshapat,Armenia,RICHMIND HOTEL- в гормонии с мыслями,2019.0,,Identity verified,0.0,regular host,Room in hotel,1.0,1.0,1.0,1.0,0.0,20.0,,,,,,
Yerevan,Armenia,Studio,2016.0,100.0,Identity verified,10.0,regular host,Entire rental unit,2.0,1.0,1.0,2.0,5.0,20.0,5.0,5.0,5.0,5.0,5.0,5.0
Aragatsotn,Armenia,Byurakan Guesthouse - Room with a view (2),2019.0,100.0,Identity verified,0.0,regular host,Room in hotel,3.0,1.0,0.0,2.0,0.0,45.0,,,,,,
Yerevan,Armenia,Comfortable house in Yerevan!,2017.0,100.0,Identity not verified,8.0,regular host,Entire residential home,6.0,1.0,2.0,2.0,4.71,28.0,4.4,4.7,4.9,4.6,4.9,4.9
Yerevan,Armenia,4Guest Hotel #2 Room,2017.0,100.0,Identity verified,84.0,Super host,Room in hotel,2.0,1.0,1.0,2.0,5.0,33.0,5.0,5.0,5.0,4.9,5.0,4.9
Yerevan,Armenia,Spacious deluxe apartment with garden - Davitashen,2019.0,100.0,Identity verified,0.0,regular host,Entire rental unit,5.0,1.0,2.0,3.0,0.0,21.0,,,,,,
Yerevan,Armenia,Просторная 3-х комнатная квартира в центре,2016.0,100.0,Identity not verified,8.0,regular host,Entire rental unit,5.0,1.0,2.0,3.0,4.88,41.0,4.8,5.0,5.0,4.8,5.0,4.9
Yerevan,Armenia,Inga Hotel Yerevan Number 102,2018.0,90.0,Identity verified,10.0,regular host,Room in boutique hotel  Hotel Yerevan,3.0,1.0,1.0,1.0,0.0,30.0,,,,,,
Yerevan,Armenia,Inga Hotel Yerevan Number 106,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,2.0,1.0,1.0,1.0,0.0,31.0,,,,,,
Yerevan,Armenia,Fuii,2021.0,80.0,Identity verified,0.0,regular host,Entire rental unit,5.0,1.0,2.0,2.0,0.0,43.0,,,,,,
Vagharshapat,Armenia,RICHMIND HOTEL- в гормонии с мыслями,2019.0,,Identity verified,0.0,regular host,Room in hotel,2.0,1.0,0.0,0.0,0.0,26.0,,,,,,
Yerevan,Armenia,Номер-105,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,2.0,1.0,1.0,1.0,0.0,29.0,,,,,,
Byurakan,Armenia,Tonatsuyts Guest House-Triple Room w/ a Double Bed,2019.0,100.0,Identity verified,0.0,regular host,Private room in guesthouse,3.0,1.0,0.0,2.0,0.0,34.0,,,,,,
Vagharshapat,Armenia,RICHMIND HOTEL- в гормонии с мыслями,2019.0,,Identity verified,0.0,regular host,Room in hotel,3.0,1.0,1.0,3.0,0.0,39.0,,,,,,
Yerevan,Armenia,New & nice room in new hotel,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,2.0,1.0,1.0,1.0,0.0,33.0,,,,,,
Yerevan,Armenia,Inga Hotel Yerevan Number 202,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,2.0,1.0,1.0,1.0,0.0,31.0,,,,,,
Yerevan,Armenia,Уютная квартира с красивым видом на город,2019.0,100.0,Identity not verified,1.0,regular host,Entire condominium (condo),3.0,1.5,1.0,1.0,0.0,27.0,,,,,,
Yerevan,Armenia,Luxurious Tranquility 10min to Center+GUIDE-DRIVER,2018.0,,Identity verified,71.0,Super host,Entire rental unit  & Tanya,8.0,1.5,3.0,7.0,4.89,53.0,5.0,5.0,5.0,4.7,5.0,4.8
Yerevan,Armenia,Уютная квартира с красивым видом на город,2019.0,100.0,Identity not verified,1.0,regular host,Entire condominium (condo),3.0,1.5,1.0,1.0,0.0,27.0,,,,,,
Yerevan,Armenia,"Vahagni Residence, Luxury Villa with Private Pool",2020.0,34.0,Identity verified,5.0,regular host,Entire residential home  Tigran,8.0,4.5,4.0,1.0,0.0,300.0,,,,,,
Byurakan,Armenia,Tonatsuyts Guest House- Family Room,2019.0,100.0,Identity verified,0.0,regular host,Private room in guesthouse,4.0,1.0,0.0,3.0,0.0,42.0,,,,,,
Vagharshapat,Armenia,RICHMIND HOTEL- в гормонии с мыслями,2019.0,,Identity verified,0.0,regular host,Room in hotel,1.0,1.0,1.0,2.0,0.0,23.0,,,,,,
Yerevan,Armenia,Luxury And Comfortable Villa in Ashtarak,2021.0,100.0,Identity verified,0.0,regular host,Entire villa,10.0,2.0,3.0,5.0,0.0,302.0,,,,,,
Yerevan,Armenia,Inga Hotel Yerevan Number 209,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,4.0,1.0,1.0,2.0,0.0,29.0,,,,,,
Yerevan,Armenia,"Garni 2 bedroom Guest House.New,nice,amazing place",2016.0,100.0,Identity verified,5.0,regular host,Entire residential home,6.0,1.0,2.0,3.0,0.0,62.0,,,,,,
Byurakan,Armenia,Tonatsuyts Guest House- Triple Room,2019.0,100.0,Identity verified,0.0,regular host,Private room in guesthouse,3.0,1.0,0.0,3.0,0.0,31.0,,,,,,
Yerevan,Armenia,4Guest Hotel #4 Room ( just opened),2017.0,100.0,Identity verified,84.0,Super host,Room in boutique hotel,4.0,1.0,1.0,1.0,5.0,50.0,5.0,5.0,5.0,4.7,5.0,5.0
Yerevan,Armenia,Caravan hotel,2019.0,,Identity verified,0.0,regular host,Room in hotel,2.0,1.0,1.0,1.0,0.0,21.0,,,,,,
Yerevan,Armenia,Inga Hotel Yerevan Number 201,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,2.0,1.0,1.0,1.0,0.0,31.0,,,,,,
Byurakan,Armenia,Twin room,2019.0,100.0,Identity not verified,1.0,regular host,Private room in bed and breakfast,2.0,1.0,1.0,2.0,0.0,30.0,,,,,,
Yerevan,Armenia,New number in new hotel,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,4.0,1.0,1.0,2.0,0.0,32.0,,,,,,
Yerevan,Armenia,Inga Hotel Yerevan Number 105,2018.0,90.0,Identity verified,10.0,regular host,Room in hotel  Hotel Yerevan,2.0,1.0,1.0,1.0,0.0,31.0,,,,,,
Byurakan,Armenia,Tonatsuyts Guest House- Quadruple Room,2019.0,100.0,Identity verified,0.0,regular host,Private room in guesthouse,4.0,1.0,0.0,4.0,0.0,37.0,,,,,,
Byurakan,Armenia,Tonatsuyts Guest House- Quadruple Room w/a Kitchen,2019.0,100.0,Identity verified,0.0,regular host,Private room in guesthouse,4.0,1.0,0.0,3.0,0.0,40.0,,,,,,
Yerevan,Armenia,Superb Apartment on Leningradyan Street,2015.0,100.0,Identity verified,7.0,regular host,Entire rental unit,4.0,1.5,1.0,1.0,4.71,27.0,4.3,4.7,4.7,5.0,4.9,4.6
Yerevan,Armenia,"Private room with the comfy sleeper sofa, piano",2013.0,100.0,Identity verified,72.0,regular host,Private room in rental unit,1.0,1.5,1.0,2.0,4.57,10.0,4.0,4.9,4.4,4.1,4.3,4.3
Yerevan,Armenia,Music Lovers Apartment -Free Airport Pickup,2017.0,80.0,Identity not verified,1.0,regular host,Entire rental unit,3.0,1.0,2.0,,0.0,47.0,,,,,,
